Size,Instance_Name,Optimal_Cost,Sw_cost,Apx,Execution_time
mid_small,A-n53-k7.vrp,1010.0,1176.363444523984,1.164716281706915,0.006945500004803762
mid_small,A-n54-k7.vrp,1167.0,1365.7910992261575,1.1703437011363818,0.00907849999202881
mid_small,A-n55-k9.vrp,1073.0,1203.604478298939,1.1217189918909032,0.004431299996213056
mid_small,A-n60-k9.vrp,1354.0,1680.918890956902,1.2414467436904741,0.00660280000010971
mid_small,A-n61-k9.vrp,1034.0,1229.9491017664682,1.1895059011281124,0.007492899996577762
mid_small,A-n62-k8.vrp,1288.0,1624.0611440648331,1.260917037317417,0.01125270000193268
mid_small,A-n63-k10.vrp,1314.0,1552.7209567147922,1.1816750051101919,0.006790700004785322
mid_small,A-n63-k9.vrp,1616.0,1827.5443588972137,1.1309061626839194,0.007767399991280399
mid_small,A-n64-k9.vrp,1401.0,1599.792151560031,1.1418930417987374,0.011089600011473522
mid_small,A-n65-k9.vrp,1174.0,1373.0046623858775,1.169509933889163,0.00843039999017492
mid_small,A-n69-k9.vrp,1159.0,1258.3408149046907,1.085712523645117,0.014019300011568703
mid_small,A-n80-k10.vrp,1763.0,2142.091395155255,1.2150263160268038,0.013381500000832602
mid_small,B-n51-k7.vrp,1032.0,1275.5375422395962,1.2359859905422443,0.005674900006852113
mid_small,B-n52-k7.vrp,747.0,926.1067816799949,1.2397681146987884,0.008059500003582798
mid_small,B-n56-k7.vrp,707.0,837.6790316571416,1.1848359712265086,0.009941899988916703
mid_small,B-n57-k7.vrp,1153.0,1449.553312343391,1.257201485120027,0.010492399989743717
mid_small,B-n57-k9.vrp,1598.0,1861.3961736436659,1.164828644332707,0.005062800002633594
mid_small,B-n63-k10.vrp,1496.0,1734.3589833178096,1.1593308712017443,0.005874299997230992
mid_small,B-n64-k9.vrp,861.0,1027.4558221364655,1.1933284809947335,0.0081583999999566
mid_small,B-n66-k9.vrp,1316.0,1503.1210797538834,1.1421892703296985,0.011562100000446662
mid_small,B-n67-k10.vrp,1032.0,1280.23092804779,1.2405338450075485,0.007152599995606579
mid_small,B-n68-k9.vrp,1272.0,1391.6622613349411,1.0940741048230669,0.011139500013086945
mid_small,B-n78-k10.vrp,1221.0,1483.1793319780083,1.2147250876150764,0.01713840001320932
mid_small,CMT1.vrp,524.61,597.5500838986912,1.139036777603727,0.018122500012395903
mid_small,CMT2.vrp,835.26,924.2652824260512,1.106559972255407,0.01003130000026431
mid_small,CMT6.vrp,555.43,597.5500838986912,1.0758332893410354,0.018683600006625056
mid_small,CMT7.vrp,909.68,924.2652824260512,1.0160334210118407,0.011226299990084954
mid_small,E-n51-k5.vrp,521.0,597.5500838986912,1.1469291437594842,0.018817100004525855
mid_small,E-n76-k10.vrp,830.0,924.2652824260512,1.1135726294289774,0.010837499998160638
mid_small,E-n76-k14.vrp,1021.0,1152.864938687941,1.129152731330011,0.003445800000918098
mid_small,E-n76-k7.vrp,682.0,725.433431755774,1.0636853838061202,0.03803029999835417
mid_small,E-n76-k8.vrp,735.0,799.8484253460681,1.0882291501307049,0.02900329999101814
mid_small,F-n72-k4.vrp,237.0,280.5998137213475,1.183965458739863,0.4313243000069633
mid_small,P-n51-k10.vrp,741.0,814.4338396379902,1.0991009981619302,0.002139099990017712
mid_small,P-n55-k10.vrp,694.0,763.5496179290861,1.1002155877940722,0.003686500000185333
mid_small,P-n55-k15.vrp,989.0,1134.4045014082797,1.1470217405543779,0.0007225000008475035
mid_small,P-n55-k7.vrp,568.0,629.0678411605414,1.107513804860108,0.011708100006217137
mid_small,P-n60-k10.vrp,744.0,825.995501658828,1.1102090076059516,0.003489299997454509
mid_small,P-n60-k15.vrp,968.0,1096.5088560588677,1.1327570827054418,0.0011186000047018752
mid_small,P-n65-k10.vrp,792.0,862.660964984201,1.0892183901315668,0.006245199998375028
mid_small,P-n70-k10.vrp,827.0,905.689867805676,1.0951509888823168,0.007828000001609325
mid_small,P-n76-k4.vrp,593.0,618.7414638629513,1.0434088766660223,0.27278970000043046
mid_small,P-n76-k5.vrp,627.0,657.3012565326164,1.0483273628909353,0.14919550000922754
mid_small,tai75a.vrp,1618.36,2186.079005606984,1.3507989604333919,0.03236050000123214
mid_small,tai75b.vrp,1344.62,1938.116923658718,1.441386357230086,0.03572469999198802
mid_small,tai75c.vrp,1291.01,1757.9065482045598,1.3616521546731317,0.04456049999862444
mid_small,tai75d.vrp,1365.42,1569.7156795488847,1.149621127234759,0.017031299998052418
