Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
mid_small,A-n53-k7.vrp,53,7,100,1013.3082739074634,2001.10826079296,1.9748267258061525,0.060719417000001386,1000,6
mid_small,A-n54-k7.vrp,54,7,100,1171.784337211776,1994.0826925492174,1.701748887763831,0.06523532799999998,1000,6
mid_small,A-n55-k9.vrp,55,9,100,1074.4636399998485,1859.5902796379355,1.7307149450289427,0.06572082900001419,1000,8
mid_small,A-n60-k9.vrp,60,9,100,1355.799248189919,2230.78919921534,1.64536837012824,0.0706747529999916,1000,8
mid_small,A-n61-k9.vrp,61,9,100,1039.0784353929382,1826.2053023001913,1.7575240136800576,0.07569134300001679,1000,8
mid_small,A-n62-k8.vrp,62,8,100,1294.2821609711052,2425.4083859162884,1.873940983700567,0.07181086100001721,1000,7
mid_small,A-n63-k10.vrp,63,10,100,1313.7294196277296,2162.473983260515,1.646057362309275,0.08392238899998006,1000,8
mid_small,A-n63-k9.vrp,63,9,100,1622.14461148721,2391.813437910471,1.474476086147224,0.07501321499998426,1000,8
mid_small,A-n64-k9.vrp,64,9,100,1400.8320811963101,2151.253472771616,1.5356968916177636,0.07605763199998705,1000,7
mid_small,A-n65-k9.vrp,65,9,100,1181.687448797443,2469.581929644041,2.0898774309207035,0.07756150299999831,1000,8
mid_small,A-n69-k9.vrp,69,9,100,1165.9945611875808,2559.5312734846443,2.1951485527322943,0.0829833459999918,1000,8
mid_small,A-n80-k10.vrp,80,10,100,1766.4999433704204,3044.008740948654,1.7231864356252349,0.0970740360000093,1000,9
mid_small,B-n51-k7.vrp,51,7,100,1035.7099814133153,2072.3663930555217,2.000913798501391,0.05995543899999234,1000,6
mid_small,B-n52-k7.vrp,52,7,100,750.0765897402907,1853.9730409947674,2.4717116443224736,0.061432109999998374,1000,6
mid_small,B-n56-k7.vrp,56,7,100,712.9160674221106,1715.4542340864343,2.4062499254498224,0.063497864000027,1000,6
mid_small,B-n57-k7.vrp,57,7,100,1160.98588257624,2082.369474844896,1.793621702121042,0.06482914399998663,1000,6
mid_small,B-n57-k9.vrp,57,9,100,1603.630575253598,1711.0089614141984,1.066959552790779,0.06782906099999764,1000,7
mid_small,B-n63-k10.vrp,63,10,100,1501.2706799308946,2157.340347066935,1.43700957855664,0.07624714400000698,1000,8
mid_small,B-n64-k9.vrp,64,9,100,869.3156645744783,2035.8622830763363,2.3419137213786105,0.078724703000006,1000,8
mid_small,B-n66-k9.vrp,66,9,100,1325.355013237209,2106.495288469188,1.5893819146041681,0.0788807720000193,1000,8
mid_small,B-n67-k10.vrp,67,10,100,1039.3588576261575,2224.403283142663,2.140168688438454,0.08125382599999398,1000,8
mid_small,B-n68-k9.vrp,68,9,100,1278.2107324742128,2315.1728265289257,1.8112606690819137,0.08061905799999636,1000,8
mid_small,B-n78-k10.vrp,78,10,100,1229.2734318106839,2716.370758646684,2.20973681554766,0.09534265399997821,1000,9
mid_small,CMT1.vrp,51,None,160,524.6111466425073,1211.5795901933548,2.309481218512838,0.05628421599999456,1000,5
mid_small,CMT2.vrp,76,None,140,835.2621066076043,1846.8819348395884,2.2111405751910045,0.09352267500000266,1000,9
mid_small,CMT6.vrp,51,None,160,555.4302364990572,1191.2368679071706,2.1447101537281767,0.05613420800000313,1000,5
mid_small,CMT7.vrp,76,None,140,909.675053283213,1783.1314765019144,1.9601850903421056,0.09366481900002555,1000,9
mid_small,E-n51-k5.vrp,51,5,160,524.9442369496244,1165.9968108037544,2.221182229905398,0.05627534000001333,1000,5
mid_small,E-n76-k10.vrp,76,10,140,837.3556148786039,1933.2821401488036,2.3087946217797586,0.09399883899999395,1000,9
mid_small,E-n76-k14.vrp,76,14,100,1026.7063423619143,1713.784421029057,1.6692060332329646,0.10137066000001482,1000,12
mid_small,E-n76-k7.vrp,76,7,220,687.6027698154307,1962.6688865608853,2.8543644277170572,0.08576094000000012,1000,6
mid_small,E-n76-k8.vrp,76,8,180,740.6554097159442,1888.1302953853583,2.549269566679454,0.0893532579999885,1000,7
mid_small,F-n72-k4.vrp,72,4,30000,248.8087975379043,981.7866498746783,3.9459482927853866,0.07884165999999482,1000,4
mid_small,P-n51-k10.vrp,51,10,80,742.4815823234725,1095.2714866107167,1.4751497042973738,0.06450355000001196,1000,8
mid_small,P-n55-k10.vrp,55,10,115,697.8097119224453,1162.456100684804,1.6658640325917382,0.06826901799999519,1000,8
mid_small,P-n55-k15.vrp,55,15,70,991.4834084933393,1068.2744395887282,1.0774506466145317,0.07620455500000389,1000,12
mid_small,P-n55-k7.vrp,55,7,170,570.2697069066196,1218.2749232999006,2.1363135873170105,0.06424203499997816,1000,6
mid_small,P-n60-k10.vrp,60,10,120,748.9404104021116,1303.2323432815153,1.7401015156623747,0.07480137199999604,1000,9
mid_small,P-n60-k15.vrp,60,15,80,971.581660632717,1266.9808031239463,1.3040394384336758,0.08240232800000058,1000,12
mid_small,P-n65-k10.vrp,65,10,130,796.6684835175466,1475.7284511409057,1.8523745845010609,0.08125167199997918,1000,9
mid_small,P-n70-k10.vrp,70,10,135,830.0199899119715,1640.4366179016263,1.9763820604797775,0.08826481700000954,1000,9
mid_small,P-n76-k4.vrp,76,4,350,598.2184952221475,1975.518371741876,3.302335831339134,0.08363217999999506,1000,4
mid_small,P-n76-k5.vrp,76,5,280,635.035240151242,1996.124971813526,3.143329449461927,0.08917253199999209,1000,5
mid_small,tai75a.vrp,76,None,1445,None,3848.15245647636,None,0.09712147400000504,1000,8
mid_small,tai75b.vrp,76,None,1679,None,3555.407752681535,None,0.09544816900000797,1000,7
mid_small,tai75c.vrp,76,None,1122,None,3077.0122240903556,None,0.09580439900000215,1000,7
mid_small,tai75d.vrp,76,None,1699,None,3915.3518692845873,None,0.09680671099999927,1000,7
