Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,BEST_Random,APX,Execution_time,#Iteration,Used_truck
mid,tai150d.vrp,151,None,1874,None,11595.320941438831,None,2.2980862259999526,10000,14
mid,X-n101-k25.vrp,101,25,206,27598.4007834456,inf,inf,1.9798626340000283,10000,0
mid,X-n106-k14.vrp,106,14,600,26362.240374476234,47910.18733563243,1.8173792005181315,1.7130376160000083,10000,14
mid,X-n110-k13.vrp,110,13,66,14979.427094468716,50758.09987905744,3.3885207731209097,1.5246934699999883,10000,13
mid,X-n115-k10.vrp,115,10,169,12751.640005756142,51211.22755047464,4.016050290578913,1.421761865999997,10000,10
mid,X-n120-k6.vrp,120,6,21,13329.4178091839,56610.84322909864,4.247060452264769,1.3312954119999745,10000,6
mid,X-n125-k30.vrp,125,30,188,55546.20080627722,81723.86378822605,1.4712772899310607,2.5032522680000397,10000,30
mid,X-n129-k18.vrp,129,18,39,28946.534546376366,67262.89200723381,2.3236941161115268,1.9829633989999707,10000,18
mid,X-n134-k13.vrp,134,13,643,10919.846711469087,35128.280890900045,3.2169206966985078,2.0494058059999816,10000,13
mid,X-n139-k10.vrp,139,10,106,13595.955750386658,63044.59631431373,4.63701099590007,1.7601039899999478,10000,10
mid,X-n143-k7.vrp,143,7,1190,15697.056595993054,71988.94826838188,4.58614312996478,1.7691985829999908,10000,7
mid,X-n148-k46.vrp,148,46,18,43452.94926360666,80233.28056924863,1.8464403896387942,3.643346153999971,10000,46
mid,X-n153-k22.vrp,153,22,144,21226.867128671347,67923.98040835546,3.199906043441043,2.320375761999969,10000,22
mid,X-n157-k13.vrp,157,13,12,16886.34634255687,59914.846839359045,3.5481237695783845,2.135154631999967,10000,13
mid,X-n162-k11.vrp,162,11,1174,14138.581489418759,72769.79405111089,5.1468949770931,2.3023018939999815,10000,11
mid,X-n167-k10.vrp,167,10,133,20558.33328675831,83655.47249687699,4.069175809634323,2.0770959989999938,10000,10
mid,X-n172-k51.vrp,172,51,161,45612.13671476604,97777.80892205959,2.143679642405481,4.402863792000005,10000,51
mid,X-n176-k26.vrp,176,26,142,47815.81734293499,104935.05292043793,2.1945677968410293,2.9597200660000453,10000,26
mid,X-n181-k23.vrp,181,23,8,25575.6800061908,67572.0840085246,2.6420444731936055,3.037266848999991,10000,23
mid,X-n186-k15.vrp,186,15,974,24154.291268175097,95520.38006784751,3.9545925404030395,2.9804537709999863,10000,15
mid,X-n190-k8.vrp,190,8,138,16985.85965815717,55533.55133856991,3.269398926883331,2.214880813000036,10000,8
mid,X-n195-k51.vrp,195,51,181,44229.3103670945,inf,inf,5.259140166999998,10000,0
mid,X-n200-k36.vrp,200,36,402,58581.48464689695,119401.85298725597,2.0382182818847467,5.056646141999977,10000,36
mid,X-n204-k19.vrp,204,19,836,19568.426556886145,84835.51235884361,4.335326200715404,3.6394301309999832,10000,19
mid,X-n209-k16.vrp,209,16,101,30660.39401012465,114116.672662027,3.7219571485070766,3.0314055529999564,10000,16
mid,X-n214-k11.vrp,214,11,944,10868.369072249128,48166.04669121957,4.431763990625317,3.037489114999971,10000,11
mid,X-n219-k73.vrp,219,73,3,117601.29001838483,177428.8662083952,1.5087323122106688,7.37734649600003,10000,73
mid,X-n223-k34.vrp,223,34,37,40437.947509756355,126947.37142041515,3.1393129285255363,4.559560008999995,10000,34
mid,X-n228-k23.vrp,228,23,154,25746.626508506168,108289.90654693637,4.2059842873457445,3.7405231959999696,10000,23
mid,X-n233-k16.vrp,233,16,631,19239.224070740955,109794.26164721782,5.706792604707647,3.811945777999995,10000,16
mid,X-n237-k14.vrp,237,14,18,27050.769538670516,120949.92339376686,4.471219320428666,3.205659565000019,10000,14
mid,X-n242-k48.vrp,242,48,28,82757.21927576141,165969.13831786247,2.0054943818837665,6.00923428699997,10000,48
mid,X-n247-k50.vrp,247,50,134,37282.91645455028,80364.93282781538,2.1555430870271164,5.277340551999998,10000,50
