Size;Instance_Name;#Node;#Truck;Capacity;Optimal_Cost;Cost_NoOpt;Apx_NoOpt;Execution_time_NoOpt;Cost_2Opt;Apx_2Opt;Execution_time_2Opt;Cost_3Opt;Apx_3Opt;Execution_time_3Opt;Cost_3Opt_Timeout;Apx_3Opt_Timeout;Execution_time_3Opt_Timeout
small;B-n45-k5.vrp;45;5;100;755.4335679475657;1140.2537531715966;1.5094030786446877;0.0003591309999819714;916.2359586775484;1.2128610609227573;0.0011732019999897147;901.6287329069982;1.1935248460782983;0.009177622999999357;;;
small;B-n45-k6.vrp;45;6;100;680.4379297045854;986.5391832036198;1.4498591864682344;0.0011159750000047097;870.7407475616016;1.2796769691243357;0.001072518000000855;861.4792549228983;1.2660658927360395;0.005584630999976525;;;
small;B-n50-k7.vrp;50;7;100;744.7824415526958;1004.5415535415909;1.3487717989797916;0.00040043799998557006;797.54817436911;1.0708471761316098;0.0010930640000026415;789.3922828670114;1.0598964728831612;0.009115787000013142;;;
small;B-n50-k8.vrp;50;8;100;1322.5618541413928;1794.9668848566243;1.3571893664073027;0.0003926730000216594;1578.830663163912;1.1937669744670574;0.0010169900000107646;1517.3954462880301;1.1473152968509917;0.007000653999995166;;;
small;E-n22-k4.vrp;22;4;6000;375.2797871480125;454.32309771181497;1.2106250143779456;0.0002782100000047194;441.7964489067805;1.177245521972473;0.0004160580000132086;398.30461542985955;1.0613537660976289;0.0011558490000140864;;;
small;E-n23-k3.vrp;23;3;4500;568.5625010705219;780.3755224117283;1.372541314178112;0.0002717780000125458;750.5727799090989;1.3201236073358298;0.0005339779999928851;743.4226658793349;1.307547832436322;0.007218303000001924;;;
small;E-n30-k3.vrp;30;3;4500;535.7967571874207;900.6176579964331;1.6808941933954236;0.0003238150000015594;583.2850389399086;1.0886311481274544;0.0009747910000044158;556.2923988113433;1.0382526421613882;0.013451444999986961;;;
small;E-n33-k4.vrp;33;4;8000;838.7210087828687;1267.4348531608118;1.5111519085471368;0.0003241759999923488;947.8427211146186;1.1301048992323497;0.0013220399999909205;929.7806887683421;1.1085696900780118;0.011785293999992064;;;
small;F-n45-k4.vrp;45;4;2010;724.5691570372719;1184.177183628191;1.6343190599917805;0.0005119360000094275;917.7992691860225;1.2666827731653099;0.00293383999999719;897.955712207112;1.2392960747581492;0.021085145999990118;;;
small;P-n16-k8.vrp;16;8;35;451.94709212981854;596.6741051276423;1.3202299904526258;0.00032544800001232943;596.6741051276423;1.3202299904526258;0.00028807799998276096;596.6741051276423;1.3202299904526258;0.00029486000002520996;;;
small;P-n19-k2.vrp;19;2;160;212.6569041858923;315.6879532463978;1.484494258274548;0.00030334599998127487;249.6088341771041;1.173763133309373;0.0006817230000137897;235.6198996063908;1.1079814243906494;0.004395337000005384;;;
small;P-n20-k2.vrp;20;2;160;217.41558334616656;329.96907227061996;1.517688231874562;0.000293197999980066;250.49866574074304;1.1521651846910255;0.0007474260000037702;238.9953753896625;1.0992559581579617;0.005670624999993379;;;
small;P-n21-k2.vrp;21;2;160;212.71153970290385;387.2677675829533;1.8206241566576675;0.000269342999985156;254.8601953993836;1.1981493611270417;0.0007966679999924509;239.37333359902524;1.1253424893325494;0.008082996000013054;;;
small;P-n22-k2.vrp;22;2;160;217.8521507402297;388.06289931284954;1.7813131428552285;0.00029993000001127257;254.86030078060892;1.169877368273074;0.0009339339999883123;239.57911333789758;1.0997326054566956;0.010395490000007612;;;
small;P-n22-k8.vrp;22;8;3000;601.4237061659817;708.7198844123649;1.17840363980726;0.0003436819999933505;689.8491454966089;1.1470268604713487;0.0003147380000143585;689.8491454966089;1.1470268604713487;0.0004384989999834943;;;
small;P-n23-k8.vrp;23;8;40;531.1738035458812;747.3384397239523;1.4069565078982653;0.00028290800000263516;690.0785546415675;1.2991577333725957;0.0002857329999983449;690.0785546415675;1.2991577333725957;0.0003211800000144649;;;
small;P-n40-k5.vrp;40;5;140;461.7261717631887;674.6825660864424;1.4612179411663833;0.00033702899997933855;560.167543811472;1.2132029286370454;0.0011264549999907558;513.0217458118971;1.111095227400315;0.006882442999994964;;;
small;P-n45-k5.vrp;45;5;150;512.7913045095214;812.0799218091433;1.5836460459989425;0.0004085329999838905;573.0286913725122;1.1174695950053348;0.0014403200000003835;531.3140025586416;1.0361213185290592;0.012424988000020676;;;
small;P-n50-k10.vrp;50;10;100;699.5615304783074;1015.5530949551203;1.4516994584604468;0.00042976299999963885;806.3231728794292;1.1526122260155247;0.0006138360000136345;800.3916901281899;1.1441333681984234;0.0015956499999845164;;;
small;P-n50-k7.vrp;50;7;150;559.8625135512013;798.2818333237883;1.4258533372064794;0.0003824350000058985;635.9679815218628;1.1359359952284096;0.0009943169999928614;601.3762137311994;1.0741498120970399;0.006379656000007117;;;
small;P-n50-k8.vrp;50;8;120;634.8499103018386;915.8510836797528;1.4426261527615443;0.0004181410000114738;697.3865487790029;1.0985061783302943;0.000736074000002418;695.0054567329776;1.0947555405694838;0.002676167999993595;;;
mid_small;A-n53-k7.vrp;53;7;100;1013.3082739074634;1605.4131305431679;1.5843284535242788;0.0004052769999987049;1201.6318690081725;1.1858502490801797;0.0011013869999771941;1176.363444523984;1.1609136871919108;0.006194901000014852;;;
mid_small;A-n54-k7.vrp;54;7;100;1171.784337211776;2054.8308260534664;1.7535913058394959;0.00040743099998508114;1373.5267062596238;1.172166808039001;0.001252980000003845;1365.7910992261575;1.165565245970103;0.007738904999996521;;;
mid_small;A-n55-k9.vrp;55;9;100;1074.4636399998485;1665.5451838054023;1.5501177720687107;0.0005402410000101554;1215.7325949996361;1.1314785812573496;0.0009393349999982092;1203.604478298939;1.1201909804031236;0.004121729000019059;;;
mid_small;A-n60-k9.vrp;60;9;100;1355.799248189919;2162.6897643991083;1.5951401118465298;0.0004901450000147634;1694.9499407898318;1.250148163935554;0.0010558120000041527;1680.918890956902;1.2397992499265944;0.006026998000010053;;;
mid_small;A-n61-k9.vrp;61;9;100;1039.0784353929382;1431.4275666677786;1.3775933730416314;0.00044899900001382775;1254.293685282793;1.207121274544081;0.001019734999999855;1229.9491017664682;1.1836922602491988;0.006461298999994369;;;
mid_small;A-n62-k8.vrp;62;8;100;1294.2821609711052;2578.352694277719;1.9921101997907245;0.00044636399999831156;1651.4203672062822;1.275935353978158;0.0015339349999976548;1624.0611440648331;1.2547968233188762;0.010028129000005492;;;
mid_small;A-n63-k10.vrp;63;10;100;1313.7294196277296;2020.024660656274;1.5376261127110076;0.0006222519999994347;1557.845514119865;1.1858191579216595;0.001175135000011096;1552.7209567147922;1.18191838708673;0.0062802310000051875;;;
mid_small;A-n63-k9.vrp;63;9;100;1622.14461148721;2724.4829211250185;1.6795561270133406;0.0006115919999842845;1841.279238453199;1.1350894522067811;0.0013027929999793741;1827.5443588972137;1.126622340545637;0.007248478999997587;;;
mid_small;A-n64-k9.vrp;64;9;100;1400.8320811963101;2156.6705092975076;1.5395639050868335;0.0005529829999773028;1632.3702620953397;1.1652861781272856;0.0014249419999998736;1599.792151560031;1.142029921383446;0.009920421000003898;;;
mid_small;A-n65-k9.vrp;65;9;100;1181.687448797443;1763.6409929209603;1.4924767075386547;0.0006120839999823602;1401.2072668134683;1.18576808803328;0.0013544589999980872;1373.0046623858775;1.1619017057201806;0.007579869000011286;;;
mid_small;A-n69-k9.vrp;69;9;100;1165.9945611875808;1728.7019335126136;1.4825986252902483;0.0006164220000073328;1288.91489851792;1.1054210211796727;0.0015944289999936245;1258.3408149046907;1.079199557863335;0.011885822000010648;;;
mid_small;A-n80-k10.vrp;80;10;100;1766.4999433704204;3210.0205873733466;1.8171642741458225;0.000718030999991015;2181.2035636146165;1.2347600529513496;0.0019137749999913467;2142.091395155255;1.212619000184183;0.01223084500000482;;;
mid_small;B-n51-k7.vrp;51;7;100;1035.7099814133153;1330.7493545762447;1.2848667855458173;0.0005270449999841276;1292.2081118120664;1.2476543965027134;0.0010151759999814658;1275.5375422395962;1.231558607264763;0.005231301000009125;;;
mid_small;B-n52-k7.vrp;52;7;100;750.0765897402907;990.8514511886365;1.3210003681513545;0.0004693870000096467;937.4344225791841;1.2497849358340392;0.001146922999993194;926.1067816799949;1.2346829568439852;0.0072657909999804815;;;
mid_small;B-n56-k7.vrp;56;7;100;712.9160674221106;1050.2675210299979;1.4731993975500413;0.0005548270000019784;840.3455840262828;1.17874406599497;0.00147250999998505;837.6790316571416;1.1750037205447919;0.008914390999990474;;;
mid_small;B-n57-k7.vrp;57;7;100;1160.98588257624;1587.7580804561758;1.3675946488969561;0.00047079899999857844;1459.7408603437182;1.2573286912882502;0.0013553219999948851;1449.553312343391;1.2485537801086923;0.009383087000003343;;;
mid_small;B-n57-k9.vrp;57;9;100;1603.630575253598;2123.2354386933616;1.324017807753256;0.00047857399999884365;1870.4322512515212;1.1663735277407836;0.0009621869999989485;1861.3961736436659;1.1607387651294345;0.004745473999975047;;;
mid_small;B-n63-k10.vrp;63;10;100;1501.2706799308946;1924.9316910591303;1.282201615465998;0.000512847000010197;1774.8752597606951;1.1822486667376964;0.001095907000006946;1734.3589833178096;1.1552606778396846;0.005434191000006194;;;
mid_small;B-n64-k9.vrp;64;9;100;869.3156645744783;1188.0695646692218;1.36667221480562;0.0007222490000060588;1030.2160423507148;1.1850885522176753;0.0021395470000129535;1027.4558221364655;1.1819133877443646;0.007304794999981823;;;
mid_small;B-n66-k9.vrp;66;9;100;1325.355013237209;1691.711531873888;1.2764214229226363;0.00048384400000145433;1514.9947193277594;1.1430859688132549;0.0015432820000000902;1503.1210797538834;1.134127131780697;0.00977526899998793;;;
mid_small;B-n67-k10.vrp;67;10;100;1039.3588576261575;1409.5816228291337;1.3562030212053477;0.0004801069999871288;1288.2772463835342;1.2394922474860066;0.0010147749999873668;1280.23092804779;1.2317506303566528;0.0065818059999855905;;;
mid_small;B-n68-k9.vrp;68;9;100;1278.2107324742128;1809.774976230708;1.4158658899128116;0.0005128370000022642;1395.312173041506;1.0916135638609619;0.0016199959999880775;1391.6622613349411;1.088758078756796;0.009862201000004234;;;
mid_small;B-n78-k10.vrp;78;10;100;1229.2734318106839;1713.6234367987606;1.3940132377827799;0.000542233000004444;1500.1446544690068;1.2203506686541965;0.0016133640000077776;1483.1793319780083;1.2065495711506011;0.014646386999999095;;;
mid_small;CMT1.vrp;51;None;160;524.6111466425073;942.4317580087217;1.7964386842335538;0.0003709130000117966;631.818930068909;1.2043566632400546;0.0016103849999922204;597.5500838986912;1.1390342880112072;0.016238022999999657;;;
mid_small;CMT2.vrp;76;None;140;835.2621066076043;1401.345970469955;1.6777320069762125;0.0005522310000003472;962.3156982807558;1.152112241975368;0.001477930000021388;924.2652824260512;1.1065571814097146;0.009090920999994978;;;
mid_small;CMT6.vrp;51;None;160;555.4302364990572;942.4317580087217;1.6967599098475104;0.0004182209999896713;631.818930068909;1.137530671810989;0.0016480879999960507;597.5500838986912;1.075832831257298;0.015915146999986973;;;
mid_small;CMT7.vrp;76;None;140;909.675053283213;1401.345970469955;1.5404907119440026;0.0005440260000000308;962.3156982807558;1.0578675262199964;0.0015279540000108227;924.2652824260512;1.0160389460941892;0.00902284400001463;;;
mid_small;E-n51-k5.vrp;51;5;160;524.9442369496244;942.4317580087217;1.7952987987544302;0.00040216100001089217;631.818930068909;1.203592468678803;0.0015990759999908732;597.5500838986912;1.1383115421382068;0.016165424999996958;;;
mid_small;E-n76-k10.vrp;76;10;140;837.3556148786039;1401.345970469955;1.6735374380610275;0.0005314029999965442;962.3156982807558;1.1492317973174015;0.0014497879999737506;924.2652824260512;1.1037906308898962;0.00904729900000234;;;
mid_small;E-n76-k14.vrp;76;14;100;1026.7063423619143;1525.6777914469988;1.4859923704544498;0.0005274149999934252;1172.0622260036432;1.1415749349588522;0.0009703019999847129;1152.864938687941;1.122877001067123;0.0033477530000141087;;;
mid_small;E-n76-k7.vrp;76;7;220;687.6027698154307;1211.2311817506502;1.761527490757162;0.0005132189999983439;745.1948670447867;1.0837578028442427;0.003505807999999888;725.433431755774;1.0550181930629772;0.0316669089999948;;;
mid_small;E-n76-k8.vrp;76;8;180;740.6554097159442;1285.3620820903334;1.7354387279548729;0.0006312090000051285;861.8700036459117;1.1636585547609186;0.0025510939999833226;799.8484253460681;1.079919777609976;0.025893977000009727;;;
mid_small;F-n72-k4.vrp;72;4;30000;248.8087975379043;426.79439096826576;1.7153508846617314;0.0005250809999779449;289.71201234826316;1.1643961757587271;0.009569835000007743;280.5998137213475;1.127772878202187;0.3578829270000199;;;
mid_small;P-n51-k10.vrp;51;10;80;742.4815823234725;1087.7582257580011;1.4650305834577646;0.0005052139999861538;828.6696254573571;1.1160810519557582;0.0007385590000126285;814.4338396379902;1.0969078008498947;0.0021391049999976985;;;
mid_small;P-n55-k10.vrp;55;10;115;697.8097119224453;996.1572484273539;1.4275485585933876;0.0004178300000035051;782.8238085735686;1.1218299132250709;0.0008347790000016175;763.5496179290861;1.094208929574123;0.003519022000006089;;;
mid_small;P-n55-k15.vrp;55;15;70;991.4834084933393;1256.9850337884202;1.2677822170504476;0.00042673699999795645;1147.3349141024132;1.1571902305918627;0.0005098629999906734;1134.4045014082797;1.1441487489257371;0.0009468690000176139;;;
mid_small;P-n55-k7.vrp;55;7;170;570.2697069066196;848.4232279475023;1.4877578410217565;0.00041042600000196217;658.6407619975688;1.1549636146207214;0.0012543329999914477;629.0678411605414;1.1031058349090073;0.010614529000008588;;;
mid_small;P-n60-k10.vrp;60;10;120;748.9404104021116;1157.7357926791497;1.545831653091803;0.0004363150000017413;838.5346250154324;1.1196279615426505;0.0009655530000145518;825.995501658828;1.1028854768503475;0.0033751819999849886;;;
mid_small;P-n60-k15.vrp;60;15;80;971.581660632717;1311.759470455619;1.3501278622338035;0.0004377580000038961;1103.1150519844346;1.135380685619426;0.000641798000003746;1096.5088560588677;1.1285812613473942;0.0012767250000251806;;;
mid_small;P-n65-k10.vrp;65;10;130;796.6684835175466;1141.8858867363797;1.4333262961459046;0.00047907499998700587;892.974555913124;1.120886007653215;0.0010938430000067;862.660964984201;1.082835561883001;0.005815656000009994;;;
mid_small;P-n70-k10.vrp;70;10;135;830.0199899119715;1297.9497307199733;1.5637571943991717;0.0005646150000018224;944.4881932987857;1.1379101765958122;0.0013641080000184047;905.689867805676;1.0911663319117528;0.0071740380000164805;;;
mid_small;P-n76-k4.vrp;76;4;350;598.2184952221475;1054.244628083658;1.7623069773062867;0.0005324040000118657;685.558340934512;1.1459999087456014;0.009263484999991078;618.7414638629513;1.0343068106464723;0.22768482899999753;;;
mid_small;P-n76-k5.vrp;76;5;280;635.035240151242;1187.964037633138;1.870705690837266;0.0007501320000073974;746.4460531110865;1.1754403628581471;0.0056418820000203596;657.3012565326164;1.035062646879363;0.12191828199999577;;;
mid_small;tai75a.vrp;76;None;1445;None;2763.549343988252;None;0.0007224000000007891;2226.5217220427144;None;0.0022304860000019744;2186.079005606984;None;0.02733634499998061;;;
mid_small;tai75b.vrp;76;None;1679;None;2782.4098324581714;None;0.000638834000000088;1969.1834983863375;None;0.0026290739999978996;1938.116923658718;None;0.027645510000013473;;;
mid_small;tai75c.vrp;76;None;1122;None;2933.1913970630167;None;0.0006261009999946054;1810.4219941854353;None;0.002950852999987319;1757.9065482045598;None;0.03730070599999635;;;
mid_small;tai75d.vrp;76;None;1699;None;1789.6320833052741;None;0.0005900629999757712;1602.5901284426327;None;0.0018769579999968755;1569.7156795488847;None;0.014697028999989925;;;
mid;CMT10.vrp;200;None;200;1395.853467656216;2773.175068804432;1.9867236304258233;0.001465860000024577;1508.7429726214405;1.0808748966714807;0.00980976699997882;1418.194863773097;1.0160055454491184;0.11936455699998305;;;
mid;CMT11.vrp;121;None;200;1042.1150274399192;3343.234592266588;3.2081243473473804;0.0009626290000142035;1564.9213753650477;1.5016781585133314;0.011334682000011753;1529.4703576968136;1.4676598239391494;0.23161355400000616;;;
mid;CMT12.vrp;101;None;200;819.5575441874688;1247.1085588683377;1.5216851674579537;0.0007323989999861169;1094.073763416582;1.3349566130847785;0.003667675000002646;1041.5504501968494;1.2708692117885025;0.04468608199999835;;;
mid;CMT13.vrp;121;None;200;1541.1416027574185;3343.234592266588;2.1693234328921207;0.000880927000025622;1564.9213753650477;1.0154299725379434;0.011208377000002656;1529.4703576968136;0.9924268833962288;0.22884778400000982;;;
mid;CMT14.vrp;101;None;200;866.3652093737874;1247.1085588683377;1.4394721133478494;0.0008692750000136584;1094.073763416582;1.262832061559101;0.003421013999997058;1041.5504501968494;1.202207151127048;0.045562781000000996;;;
mid;CMT3.vrp;101;None;200;826.1369729550208;1387.100616744927;1.6790201409136642;0.0007623250000108328;921.1532165871756;1.1150126997612635;0.006260799999978417;858.7818068435147;1.0395150380108593;0.08021313400001873;;;
mid;CMT4.vrp;151;None;200;1028.4242880993547;2252.4271415763624;2.1901730323183095;0.0011850249999838525;1210.832097350671;1.1773662984840882;0.00826424600001019;1129.911282639642;1.0986820281421463;0.11205472400001781;;;
mid;CMT5.vrp;200;None;200;1291.2891464211025;2773.175068804432;2.1476019344625326;0.0015942999999936092;1508.7429726214405;1.1684005683800769;0.01021145400000023;1418.194863773097;1.098278311796953;0.12324985899999774;;;
mid;CMT8.vrp;101;None;200;865.9445056375685;1387.100616744927;1.6018354614117534;0.0008852349999983744;921.1532165871756;1.0637554838562764;0.005937997999978961;858.7818068435147;0.9917284551753347;0.08065856600001098;;;
mid;CMT9.vrp;151;None;200;1162.5470444474113;2252.4271415763624;1.937493327547015;0.0010786459999962972;1210.832097350671;1.0415338485731653;0.008313727999990306;1129.911282639642;0.9719273624550119;0.1124834729999975;;;
mid;E-n101-k14.vrp;101;14;112;1082.650162207119;1691.9154816842315;1.5627536398600341;0.0009440740000172809;1275.4454322421425;1.1780771635797718;0.0020363890000112406;1236.0687119875515;1.1417064857475931;0.012335925000002135;;;
mid;E-n101-k8.vrp;101;8;200;826.9079628529653;1387.100616744927;1.6774546612892771;0.0008992009999815309;921.1532165871756;1.1139730876566347;0.0059513129999970715;858.7818068435147;1.0385458181834162;0.08087077099997941;;;
mid;F-n135-k7.vrp;135;7;2210;1170.6531100619734;2416.6224042778663;2.0643368932321313;0.0012205809999841222;1529.504929369997;1.3065398419255267;0.018679120000001603;1477.42885494849;1.2620552085410477;0.5790843909999808;;;
mid;Golden_1.vrp;241;None;550;5623.468314507381;14495.071469485369;2.5776034750815775;0.0018679410000004282;6084.77235582124;1.0820319446139297;0.05649440999999911;5723.854886262113;1.0178513625649415;2.478842242000013;;;
mid;Golden_17.vrp;241;None;200;707.7560011421995;1245.4003350624955;1.7596464502634075;0.0019705730000225685;803.0148529758733;1.1345927857622429;0.011415284999998221;757.6160637825609;1.0704480958973088;0.1490269450000028;;;
mid;Golden_5.vrp;201;None;900;6460.97951921498;15988.036113225498;2.4745529784883256;0.001612633999997115;7621.795870955887;1.179665691291643;0.11818472400000246;7115.002335388399;1.101226573188841;11.235230433999988;;;
mid;M-n101-k10.vrp;101;10;200;819.8108473050876;1247.1085588683377;1.5212150009576952;0.0009959669999943799;1094.073763416582;1.3345441415090586;0.003410901999984617;1041.5504501968494;1.2704765417787194;0.04417779400000654;;;
mid;M-n121-k7.vrp;121;7;200;1045.160491205303;3343.234592266588;3.198776284024182;0.0009169499999757136;1564.9213753650477;1.497302460754467;0.011154196000006777;1529.4703576968136;1.463383251248804;0.23069448799998327;;;
mid;M-n151-k12.vrp;151;12;200;1030.7562527704383;2264.58233596809;2.1970105249242073;0.001245170999993661;1207.1555056872453;1.1711357582771735;0.008383780000002616;1122.0697254289066;1.0885888127411678;0.13158003800000984;;;
mid;M-n200-k16.vrp;200;None;200;1294.6662430341767;2788.087356499641;2.1535182302780105;0.0015923290000046109;1516.288071552921;1.1711806650641883;0.009975037000003795;1418.194863773097;1.0954134869921526;0.11481585699999641;;;
mid;M-n200-k17.vrp;200;17;200;1294.8940205956042;2788.087356499641;2.153139416936393;0.00174589700000638;1516.288071552921;1.1709746492268793;0.009969136000023582;1418.194863773097;1.0952207989351739;0.11497799900001837;;;
mid;P-n101-k4.vrp;101;4;400;692.2768742727131;1216.2146963882997;1.7568327667539394;0.0008867040000097859;788.1522830168792;1.1384928665209135;0.017115557000010995;713.2712246030273;1.0303265226826626;1.1429742529999771;;;
mid;tai100a.vrp;101;None;1409;None;3855.1028483957616;None;0.0009624350000194681;2752.903911816082;None;0.003151317000003928;2739.2284374779415;None;0.024356732999990527;;;
mid;tai100b.vrp;101;None;1842;None;3202.8096360665577;None;0.0008248079999759739;2346.8468997608297;None;0.004503537000005053;2280.4207680613176;None;0.11023697900000684;;;
mid;tai100c.vrp;101;None;2043;None;3107.139836348741;None;0.0008425009999939448;2152.821635928595;None;0.002887203000000227;2113.282229138957;None;0.03830576600000768;;;
mid;tai100d.vrp;101;None;1297;None;3693.6669761703233;None;0.0008160619999841856;1931.9286985108238;None;0.005918495999992501;1876.1655004001361;None;0.08258489900001109;;;
mid;tai150a.vrp;151;None;1544;None;5544.295791171098;None;0.0012332400000047983;3888.570923467397;None;0.0058650560000046426;3859.9272072779772;None;0.06562853200000518;;;
mid;tai150b.vrp;151;None;1918;None;5933.259595897975;None;0.001286479000015106;3555.4210981924098;None;0.007509932999994362;3469.518797387914;None;0.1150772439999912;;;
mid;tai150c.vrp;151;None;2021;None;5012.6388684806625;None;0.0012980909999953383;3333.0757121187244;None;0.006269509999981437;3260.525957472513;None;0.07664645599999176;;;
mid;tai150d.vrp;151;None;1874;None;4997.698501309615;None;0.0012587580000058551;3492.8768501466543;None;0.015636837000016612;3412.045821083761;None;0.3982256670000197;;;
mid;X-n101-k25.vrp;101;None;206;27598.4007834456;37820.66581456943;1.370393382983824;0.0009422390000111136;35068.893079730304;1.2706856949756937;0.0009350629999858029;35007.76135971941;1.2684706492384217;0.0020017829999972037;;;
mid;X-n106-k14.vrp;106;None;600;26362.240374476234;41408.29230905716;1.5707425363266325;0.0008538020000230517;30872.656796418985;1.1710938204747465;0.0022576270000058685;30752.111347497612;1.1665211647668468;0.014337264999994659;;;
