Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt,#Truck_Opt3
mid_large,Golden_10.vrp,324,None,1000,735.4274460162404,2406.484963433962,3.2722262086759537,0.005886918000015839,928.678926181576,1.2627743650473822,0.050405867999984366,902.5904705055611,1.2273004976831245,1.3209306450000042,16
mid_large,Golden_11.vrp,400,None,1000,911.9802546729934,3348.194892766151,3.6713458165458914,0.004331511000003729,1156.4957240682345,1.268114872161258,0.08331196099999261,1133.4441732722146,1.2428385016719807,2.171726366999991,18
mid_large,Golden_12.vrp,484,None,1000,1100.6653917149429,4145.72236839475,3.7665601186345246,0.008633965999990778,1333.359775214427,1.2114124649062725,0.11104207400001087,1307.342274982048,1.1877744906152472,3.2751355750000073,20
mid_large,Golden_13.vrp,253,None,1000,857.1887449794051,1756.4535656979187,2.0490861271634166,0.0021692260000065744,1044.4837566536323,1.218499149424468,0.00921255699998369,1012.3069446972991,1.1809615450814404,0.07042517300001805,27
mid_large,Golden_14.vrp,321,None,1000,1080.5525732535093,2306.9509677806636,2.134973369074036,0.003355526000007103,1299.3580363473532,1.2024940465738077,0.014386414000000514,1270.2020387354057,1.1755115578605009,0.13890116199999625,30
mid_large,Golden_15.vrp,397,None,1000,1337.2677786614804,3141.3818560159443,2.3491045743734786,0.004305506999997988,1694.1566249478828,1.2668791187383768,0.02250654600001667,1634.0642962982324,1.221942472833546,0.22496830099998988,35
mid_large,Golden_16.vrp,481,None,1000,1611.2770526552179,4048.2193746651596,2.5124291120475606,0.006018506000003754,2029.7802375728616,1.2597338454165867,0.03367102699999691,1967.294689133125,1.2209537061867957,0.39459159399999066,38
mid_large,Golden_18.vrp,301,None,200,995.1332487054715,2017.986090194632,2.027855156904614,0.004974785999991127,1227.5978740241078,1.2336015057491447,0.016919091000005437,1175.8827971379446,1.1816335135697686,0.23201502099999516,29
mid_large,Golden_19.vrp,361,None,200,1365.6035342978782,3010.295964674058,2.2043703674374235,0.003951713999981621,1713.2985262144987,1.2546090305012185,0.021669414000001552,1652.0970482834311,1.2097925985032345,0.2703353799999775,34
mid_large,Golden_2.vrp,321,None,700,8404.611623286655,22962.787312970882,2.7321651900425588,0.003082796999990478,9098.030787707305,1.082504605269254,0.1366751909999948,8695.24192864454,1.0345798614361472,8.498504093000008,10
mid_large,Golden_20.vrp,421,None,200,1817.59,4295.889723770661,2.36350867015,0.004738830000007965,2366.7203475425335,1.30212003122,0.028012580999984493,2318.178670751868,1.27541341598,0.3524431810000124,39
mid_large,Golden_3.vrp,401,None,900,10997.760007936988,32853.9517014639,2.9873312090601623,0.0044291279999981725,12221.615834218712,1.111282281609935,0.2682045840000171,11179.382518303333,1.016514500246893,37.57916867200001,9
mid_large,Golden_4.vrp,481,None,1000,13588.647622235947,42573.81613970028,3.1330429137064457,0.009400381000006064,15004.482503129195,1.1041924789172124,0.4401953930000104,14163.16259012076,1.0422790393758317,48.56817766499998,10
mid_large,Golden_6.vrp,281,None,900,8400.332070493927,24476.224679513965,2.9137210855611806,0.004704575999994631,10006.576172867168,1.1912119769663816,0.18000597399998242,8844.624766526864,1.052889896768904,21.942715092000014,7
mid_large,Golden_7.vrp,361,None,900,10102.681504546768,35243.18959308428,3.488498531525802,0.003640562000043701,11815.289516106615,1.1695201428243658,0.2583177110000179,10984.248079909967,1.0872606520324772,25.79202128899999,9
mid_large,Golden_8.vrp,441,None,900,11635.343785727806,39389.59606556177,3.3853401146494697,0.0074252089999617965,13033.832559796305,1.1201931631606725,0.3015893760000381,12021.215932167348,1.0331637941727911,45.81425314899997,10
mid_large,Golden_9.vrp,256,None,1000,579.702137615176,1716.8267050463287,2.961566973185824,0.002677344999995057,730.4723077749969,1.2600821359397967,0.03152525299998388,703.2568919362893,1.2131348951539191,0.6571181759999831,14
mid_large,tai385.vrp,386,None,65,24366.413317686343,58320.50296563044,2.39347917994,0.006818883999983427,36445.74685196809,1.49573703675,0.030347339999991618,36159.27862984487,1.48398035273,0.36402036199996246,54
mid_large,X-n251-k28.vrp,251,28,69,38690.425121260014,67685.84432660844,1.7494210548080982,0.0023239329999569236,46175.85738692344,1.1934698893124918,0.008655352999994648,45908.33627905272,1.1865554884747578,0.05656299000003173,29
mid_large,X-n256-k16.vrp,256,16,1225,18847.64536111926,36061.694687546245,1.913326253577425,0.0021652460000041174,21538.490113478798,1.1427682185654062,0.02059695200000533,20557.56545070825,1.0907232737473074,0.3335201559999632,17
mid_large,X-n261-k13.vrp,261,13,1081,26564.880001915062,100527.18356926514,3.784213727373063,0.0037219679999793698,31697.13265831839,1.1931969071960176,0.03434791999995923,30739.74272667072,1.1571572212806793,0.8831123660000344,13
mid_large,X-n266-k58.vrp,266,58,35,75489.08620023358,128562.50505840211,1.7030608201746162,0.0026602099999877282,109297.84807222252,1.4478629107035652,0.004613913000014236,109284.04785250848,1.4476800999105264,0.00919842000001836,65
mid_large,X-n270-k35.vrp,270,35,585,35290.73392868522,60117.43768023076,1.7034907180370582,0.002394405000018196,41638.47354339368,1.1798698669043222,0.0073134319999894615,41177.520586752464,1.166808280892178,0.032832097999971666,38
mid_large,X-n275-k28.vrp,275,28,10,21250.145366637433,41122.508387744114,1.9351636272712816,0.0027470279999874947,24871.05259318812,1.1703944685590473,0.011699485999997705,24485.06232113352,1.1522303447191886,0.09383333499999935,28
