Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt
x_large,Antwerp1.vrp,6001,None,30,477277.0,2004487.6835993796,4.199841357533214,0.03678949997993186,694037.7481885182,1.4541613113318224,0.8767022999818437,692982.5687092209,1.4519504788816995,15.610585399990669
x_large,Antwerp2.vrp,7001,None,100,291350.0,3113166.5332643343,10.685315027507583,0.06889519997639582,398056.9087485534,1.3662499013164697,9.950650900020264,392964.68255610496,1.3487718639303414,1979.812543500011
x_large,Brussels1.vrp,15001,None,50,501719.0,4060229.1823648233,8.092635882565387,4.147410400037188,854959.7339997387,1.7040609066025778,9.112795100023504,0,0.0,4.00003045797348e-07
x_large,Brussels2.vrp,16001,None,150,345468.0,4905546.688271618,14.199713687726847,8.879788600024767,485559.1540522953,1.4055112312928992,69.47864759998629,0,0.0,4.00003045797348e-07
x_large,Flanders1.vrp,20001,None,50,7240118.0,45477575.11605959,6.281330651801475,8.712151600047946,10828588.758563928,1.4956370543358448,21.28933880000841,0,0.0,6.00004568696022e-07
x_large,Flanders2.vrp,21001,None,150,1000000.0,0,0,0.0,0,0,0.0,0,0,0
x_large,Ghent1.vrp,10001,None,35,469531.0,2516253.3497219575,5.359078207236492,0.05072530001052655,749857.2857190422,1.5970346701688327,1.536891600000672,0,0,0.034326699998928234
x_large,Ghent2.vrp,11001,None,170,257748.0,3141084.1741555776,12.186648098745975,0.9102415999805089,325760.679576508,1.2638727733154398,48.68390610002098,0,0,0.03786240000044927
x_large,Leuven1.vrp,3001,None,25,192848.0,753913.9202818803,3.909368623381525,0.010007699980633333,290750.2985927503,1.5076656153693597,0.2394843999936711,289787.5065217498,1.5026731235052984,3.91132149999612
x_large,Leuven2.vrp,4001,None,150,111391.0,991839.4024367188,8.90412513072617,0.018399599997792393,140922.32391275864,1.2651140928150266,13.908442499989178,0,0,0.015737199981231242
