Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt,#Truck_Opt3
mid_small,A-n53-k7.vrp,53,7,100,1013.3082739074634,1605.4131305431679,1.5843284535242788,0.00036180299998989085,1201.6318690081725,1.1858502490801797,0.0010672340000041913,1176.363444523984,1.1609136871919108,0.0059986259999931235,8
mid_small,A-n54-k7.vrp,54,7,100,1171.784337211776,2054.8308260534664,1.7535913058394959,0.0003605400000026293,1373.5267062596238,1.172166808039001,0.0014107509999945478,1365.7910992261575,1.165565245970103,0.007366284999989148,8
mid_small,A-n55-k9.vrp,55,9,100,1074.4636399998485,1665.5451838054023,1.5501177720687107,0.000540192999991973,1215.7325949996361,1.1314785812573496,0.001034420999999952,1203.604478298939,1.1201909804031236,0.003960019999993847,9
mid_small,A-n60-k9.vrp,60,9,100,1355.799248189919,2162.6897643991083,1.5951401118465298,0.0004308129999941457,1694.9499407898318,1.250148163935554,0.0011261940000082404,1680.918890956902,1.2397992499265944,0.005768474999996442,10
mid_small,A-n61-k9.vrp,61,9,100,1039.0784353929382,1431.4275666677786,1.3775933730416314,0.000436123000000066,1254.293685282793,1.207121274544081,0.001064948999996318,1229.9491017664682,1.1836922602491988,0.008948224999997478,10
mid_small,A-n62-k8.vrp,62,8,100,1294.2821609711052,2578.352694277719,1.9921101997907245,0.00044893699998738157,1651.4203672062822,1.275935353978158,0.0017194029999956228,1624.0611440648331,1.2547968233188762,0.009615457999998966,9
mid_small,A-n63-k10.vrp,63,10,100,1313.7294196277296,2020.024660656274,1.5376261127110076,0.000509561000001213,1557.845514119865,1.1858191579216595,0.0011906229999993911,1552.7209567147922,1.18191838708673,0.00581230699999935,11
mid_small,A-n63-k9.vrp,63,9,100,1622.14461148721,2724.4829211250185,1.6795561270133406,0.0005150479999969093,1841.279238453199,1.1350894522067811,0.0014175440000059325,1827.5443588972137,1.126622340545637,0.007182742000011899,10
mid_small,A-n64-k9.vrp,64,9,100,1400.8320811963101,2156.6705092975076,1.5395639050868335,0.0004519820000012942,1632.3702620953397,1.1652861781272856,0.0013570600000036848,1599.792151560031,1.142029921383446,0.010190051000009248,10
mid_small,A-n65-k9.vrp,65,9,100,1181.687448797443,1763.6409929209603,1.4924767075386547,0.00042157499999007086,1401.2072668134683,1.18576808803328,0.0011996400000100493,1373.0046623858775,1.1619017057201806,0.007074965999990468,10
mid_small,A-n69-k9.vrp,69,9,100,1165.9945611875808,1728.7019335126136,1.4825986252902483,0.000724235999996381,1288.91489851792,1.1054210211796727,0.0014182560000080002,1258.3408149046907,1.079199557863335,0.010537557000006359,10
mid_small,A-n80-k10.vrp,80,10,100,1766.4999433704204,3210.0205873733466,1.8171642741458225,0.0005981880000121009,2181.2035636146165,1.2347600529513496,0.0019348810000110461,2142.091395155255,1.212619000184183,0.011682329999999297,11
mid_small,B-n51-k7.vrp,51,7,100,1035.7099814133153,1330.7493545762447,1.2848667855458173,0.00036645100000498587,1292.2081118120664,1.2476543965027134,0.0009530370000021549,1275.5375422395962,1.231558607264763,0.005081695000001218,8
mid_small,B-n52-k7.vrp,52,7,100,750.0765897402907,990.8514511886365,1.3210003681513545,0.00039650800000856634,937.4344225791841,1.2497849358340392,0.001152214000001095,926.1067816799949,1.2346829568439852,0.006816127999996979,7
mid_small,B-n56-k7.vrp,56,7,100,712.9160674221106,1050.2675210299979,1.4731993975500413,0.0004609289999990551,840.3455840262828,1.17874406599497,0.0013762860000099408,837.6790316571416,1.1750037205447919,0.00890823400000329,7
mid_small,B-n57-k7.vrp,57,7,100,1160.98588257624,1587.7580804561758,1.3675946488969561,0.00038215099999661106,1459.7408603437182,1.2573286912882502,0.001109191999987047,1449.553312343391,1.2485537801086923,0.008869119999999953,8
mid_small,B-n57-k9.vrp,57,9,100,1603.630575253598,2123.2354386933616,1.324017807753256,0.0003781240000080288,1870.4322512515212,1.1663735277407836,0.000892853999999943,1861.3961736436659,1.1607387651294345,0.004655237999998008,9
mid_small,B-n63-k10.vrp,63,10,100,1501.2706799308946,1924.9316910591303,1.282201615465998,0.00045010899999908816,1774.8752597606951,1.1822486667376964,0.0011874000000062779,1734.3589833178096,1.1552606778396846,0.005119910999994204,11
mid_small,B-n64-k9.vrp,64,9,100,869.3156645744783,1188.0695646692218,1.36667221480562,0.0004789010000081362,1030.2160423507148,1.1850885522176753,0.0012756759999916767,1027.4558221364655,1.1819133877443646,0.011919102999996767,10
mid_small,B-n66-k9.vrp,66,9,100,1325.355013237209,1691.711531873888,1.2764214229226363,0.00045954699999128934,1514.9947193277594,1.1430859688132549,0.001560222999998473,1503.1210797538834,1.134127131780697,0.009719926000002488,10
mid_small,B-n67-k10.vrp,67,10,100,1039.3588576261575,1409.5816228291337,1.3562030212053477,0.0005057940000057215,1288.2772463835342,1.2394922474860066,0.0010988229999924215,1280.23092804779,1.2317506303566528,0.006393731000002845,11
mid_small,B-n68-k9.vrp,68,9,100,1278.2107324742128,1809.774976230708,1.4158658899128116,0.00046713100000772556,1395.312173041506,1.0916135638609619,0.0014962220000001025,1391.6622613349411,1.088758078756796,0.00952063699999428,9
mid_small,B-n78-k10.vrp,78,10,100,1229.2734318106839,1713.6234367987606,1.3940132377827799,0.0005132779999996728,1500.1446544690068,1.2203506686541965,0.001719773999994345,1483.1793319780083,1.2065495711506011,0.013835818999993421,11
mid_small,CMT1.vrp,51,None,160,524.6111466425073,942.4317580087217,1.7964386842335538,0.00035839600000997507,631.818930068909,1.2043566632400546,0.00152909399999146,597.5500838986912,1.1390342880112072,0.015236310000005915,6
mid_small,CMT2.vrp,76,None,140,835.2621066076043,1401.345970469955,1.6777320069762125,0.00045394600000747687,962.3156982807558,1.152112241975368,0.0014609159999992016,924.2652824260512,1.1065571814097146,0.008576970999996547,11
mid_small,CMT6.vrp,51,None,160,555.4302364990572,942.4317580087217,1.6967599098475104,0.0004175459999942177,631.818930068909,1.137530671810989,0.0015698710000009442,597.5500838986912,1.075832831257298,0.015241590000002248,6
mid_small,CMT7.vrp,76,None,140,909.675053283213,1401.345970469955,1.5404907119440026,0.00047136899999600246,962.3156982807558,1.0578675262199964,0.0015843679999960614,924.2652824260512,1.0160389460941892,0.008695521999996458,11
mid_small,E-n51-k5.vrp,51,5,160,524.9442369496244,942.4317580087217,1.7952987987544302,0.00041193699999553246,631.818930068909,1.203592468678803,0.0017392310000019506,597.5500838986912,1.1383115421382068,0.01515497799999821,6
mid_small,E-n76-k10.vrp,76,10,140,837.3556148786039,1401.345970469955,1.6735374380610275,0.00046931499998947857,962.3156982807558,1.1492317973174015,0.0014499549999982264,924.2652824260512,1.1037906308898962,0.00870944099999349,11
mid_small,E-n76-k14.vrp,76,14,100,1026.7063423619143,1525.6777914469988,1.4859923704544498,0.0004703169999942247,1172.0622260036432,1.1415749349588522,0.0010003569999952333,1152.864938687941,1.122877001067123,0.003347605000001863,15
mid_small,E-n76-k7.vrp,76,7,220,687.6027698154307,1211.2311817506502,1.761527490757162,0.000492989999997917,745.1948670447867,1.0837578028442427,0.0034329860000070767,725.433431755774,1.0550181930629772,0.029831452000010472,7
mid_small,E-n76-k8.vrp,76,8,180,740.6554097159442,1285.3620820903334,1.7354387279548729,0.0004806970000004185,861.8700036459117,1.1636585547609186,0.0027451979999995046,799.8484253460681,1.079919777609976,0.023901133000009622,8
mid_small,F-n72-k4.vrp,72,4,30000,248.8087975379043,426.79439096826576,1.7153508846617314,0.0004986710000025596,289.71201234826316,1.1643961757587271,0.00907607999999982,280.5998137213475,1.127772878202187,0.3326710369999972,5
mid_small,P-n51-k10.vrp,51,10,80,742.4815823234725,1087.7582257580011,1.4650305834577646,0.0004470230000066522,828.6696254573571,1.1160810519557582,0.0007924949999988939,814.4338396379902,1.0969078008498947,0.0021223729999917396,11
mid_small,P-n55-k10.vrp,55,10,115,697.8097119224453,996.1572484273539,1.4275485585933876,0.00037280400000838654,782.8238085735686,1.1218299132250709,0.0008207079999920097,763.5496179290861,1.094208929574123,0.003279125999995358,10
mid_small,P-n55-k15.vrp,55,15,70,991.4834084933393,1256.9850337884202,1.2677822170504476,0.0004003450000027442,1147.3349141024132,1.1571902305918627,0.0005372130000012021,1134.4045014082797,1.1441487489257371,0.0009456639999996241,18
mid_small,P-n55-k7.vrp,55,7,170,570.2697069066196,848.4232279475023,1.4877578410217565,0.00037484700000334215,658.6407619975688,1.1549636146207214,0.0012425339999992957,629.0678411605414,1.1031058349090073,0.010009100000004878,7
mid_small,P-n60-k10.vrp,60,10,120,748.9404104021116,1157.7357926791497,1.545831653091803,0.00047892300000285104,838.5346250154324,1.1196279615426505,0.00112967999999114,825.995501658828,1.1028854768503475,0.0031787960000002613,11
mid_small,P-n60-k15.vrp,60,15,80,971.581660632717,1311.759470455619,1.3501278622338035,0.00042592299999455463,1103.1150519844346,1.135380685619426,0.0008390630000008059,1096.5088560588677,1.1285812613473942,0.0013925669999963475,16
mid_small,P-n65-k10.vrp,65,10,130,796.6684835175466,1141.8858867363797,1.4333262961459046,0.00041227700000945333,892.974555913124,1.120886007653215,0.0010893839999965849,862.660964984201,1.082835561883001,0.005502849999999171,11
mid_small,P-n70-k10.vrp,70,10,135,830.0199899119715,1297.9497307199733,1.5637571943991717,0.0008287460000104829,944.4881932987857,1.1379101765958122,0.0017907379999968498,905.689867805676,1.0911663319117528,0.007061446999998111,11
mid_small,P-n76-k4.vrp,76,4,350,598.2184952221475,1054.244628083658,1.7623069773062867,0.0004785329999918986,685.558340934512,1.1459999087456014,0.008789320000005318,618.7414638629513,1.0343068106464723,0.21271885000000168,4
mid_small,P-n76-k5.vrp,76,5,280,635.035240151242,1187.964037633138,1.870705690837266,0.0005121559999992087,746.4460531110865,1.1754403628581471,0.005659766000007949,657.3012565326164,1.035062646879363,0.11382046199999252,5
mid_small,tai75a.vrp,76,None,1445,1618.3567427323092,2763.549343988252,1.70762679885,0.0005503280000027644,2226.5217220427144,1.37579166772,0.002202093999997601,2186.079005606984,1.35080167919,0.025355838000010067,12
mid_small,tai75b.vrp,76,None,1679,1344.6186241386285,2782.4098324581714,2.06929294486,0.0005027880000056939,1969.1834983863375,1.46449220845,0.0025952350000011393,1938.116923658718,1.44138783211,0.026334892999997805,11
mid_small,tai75c.vrp,76,None,1122,1291.0074758851872,2933.1913970630167,2.27201735997,0.0005230870000048071,1810.4219941854353,1.40233269598,0.003014687000003846,1757.9065482045598,1.36165481691,0.03716251100000534,10
mid_small,tai75d.vrp,76,None,1699,1365.4192743892231,1789.6320833052741,1.31068318492,0.0008332719999941673,1602.5901284426327,1.17369818817,0.0020474020000023074,1569.7156795488847,1.14962173817,0.014726940000002742,10
