Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,Cost_NoOpt,Apx_NoOpt,Execution_time_NoOpt,Cost_2Opt,Apx_2Opt,Execution_time_2Opt,Cost_3Opt,Apx_3Opt,Execution_time_3Opt,#Truck_Opt3
small,A-n32-k5.vrp,32,5,100,787.8082774366646,1559.125152837149,1.9790667317055373,0.0039204750000010335,914.6650305494419,1.1610249051019597,0.0017210860000034245,885.0418306160853,1.1234228631054688,0.007534090999996579,5
small,A-n33-k5.vrp,33,5,100,662.7628798187153,942.076965984789,1.421438940941403,0.000337407000003509,806.5812797180439,1.2169982723514434,0.0007369700000054991,798.7116975969584,1.205124369390496,0.003086692000010771,5
small,A-n33-k6.vrp,33,6,100,742.830104787331,1050.3116319385529,1.4139325064635775,0.00031047499999203865,893.1537890108273,1.2023661712882965,0.0005491360000036138,875.319778439195,1.178357975529001,0.002040028000010352,7
small,A-n34-k5.vrp,34,5,100,781.3034826995502,1036.4696846075794,1.3265903807652082,0.00032541400000241083,913.617661425618,1.1693505553935297,0.0006487639999903649,868.7496584419196,1.1119234429113594,0.0029662450000103036,6
small,A-n36-k5.vrp,36,5,100,802.1318035237848,1188.281185043952,1.481403903727297,0.0003116070000004356,961.299804318496,1.1984312304978835,0.000743863000010947,943.4352846905521,1.1761599285130169,0.004643169999994257,5
small,A-n37-k5.vrp,37,5,100,672.593526946931,1055.8665619951767,1.5698434785538558,0.0003244319999993195,854.8534635897364,1.2709808068925796,0.0012168049999985442,839.6461123034506,1.2483707895834395,0.0071413389999861465,5
small,A-n37-k6.vrp,37,6,100,952.2175276972253,1476.5709559086126,1.550665591589609,0.00032212800000763764,1146.9924327193967,1.204548750003795,0.0006482729999959247,1137.0932136375932,1.1941527860629262,0.0035553780000014967,7
small,A-n38-k5.vrp,38,5,100,734.1846511333271,1154.7859502581546,1.5728821740900802,0.0003220180000056416,891.5621031669514,1.2143567722243824,0.0008374100000025919,878.7654334461328,1.1969270020690612,0.004786760000001777,6
small,A-n39-k5.vrp,39,5,100,828.989115424054,1488.8953664088112,1.7960372925369406,0.00032457200001090314,1037.7018387521975,1.251767748749488,0.0009151059999936706,1014.9654208067323,1.224341070253432,0.00531095600000242,6
small,A-n39-k6.vrp,39,6,100,833.2046053523984,1257.1133277776046,1.5087690582866098,0.000326416000007157,1027.6627512764096,1.2333858270523679,0.0008516859999900817,989.1805362297355,1.1872000345117728,0.005184943000003273,6
small,A-n44-k6.vrp,44,6,100,939.3346964376051,1684.6679726010532,1.7934693341895058,0.00035306600000239996,1210.8071949386222,1.2890050793722059,0.0008528190000021141,1164.8582750697713,1.2400886281401684,0.004856789999990951,7
