Size,Instance_Name,Optimal_Cost,Sw_cost,Apx,Execution_time
mid_small,A-n53-k7.vrp,1010.0,1605.4131305431679,1.5895179510328394,0.00023750000400468707
mid_small,A-n54-k7.vrp,1167.0,2054.8308260534664,1.7607804850500997,0.00023850001161918044
mid_small,A-n55-k9.vrp,1073.0,1665.5451838054023,1.5522322309463208,0.00024590000975877047
mid_small,A-n60-k9.vrp,1354.0,2162.6897643991083,1.5972597964542898,0.0002671999973244965
mid_small,A-n61-k9.vrp,1034.0,1431.4275666677786,1.3843593488082966,0.0002673999988473952
mid_small,A-n62-k8.vrp,1288.0,2578.352694277719,2.0018266259920177,0.0002641000028233975
mid_small,A-n63-k10.vrp,1314.0,2020.024660656274,1.5373094829956422,0.00026960000104736537
mid_small,A-n63-k9.vrp,1616.0,2724.4829211250185,1.6859424016862739,0.0002742000069702044
mid_small,A-n64-k9.vrp,1401.0,2156.6705092975076,1.5393793785135672,0.0002761000068858266
mid_small,A-n65-k9.vrp,1174.0,1763.6409929209603,1.5022495680757755,0.00028300000121816993
mid_small,A-n69-k9.vrp,1159.0,1728.7019335126136,1.4915461031170092,0.0002928999892901629
mid_small,A-n80-k10.vrp,1763.0,3210.0205873733466,1.8207717455322443,0.00034050000249408185
mid_small,B-n51-k7.vrp,1032.0,1330.7493545762447,1.2894858086979115,0.0006304999988060445
mid_small,B-n52-k7.vrp,747.0,990.8514511886365,1.3264410323810394,0.0002364999963901937
mid_small,B-n56-k7.vrp,707.0,1050.2675210299979,1.4855269038613832,0.0002505000011296943
mid_small,B-n57-k7.vrp,1153.0,1587.7580804561758,1.3770668520868827,0.0002469000028213486
mid_small,B-n57-k9.vrp,1598.0,2123.2354386933616,1.3286830029370222,0.00024419999681413174
mid_small,B-n63-k10.vrp,1496.0,1924.9316910591303,1.2867190448256218,0.00027129999944008887
mid_small,B-n64-k9.vrp,861.0,1188.0695646692218,1.3798717359688988,0.00027289999707136303
mid_small,B-n66-k9.vrp,1316.0,1691.711531873888,1.285495085010553,0.0002825999981723726
mid_small,B-n67-k10.vrp,1032.0,1409.5816228291337,1.3658736655321064,0.0002933000068878755
mid_small,B-n68-k9.vrp,1272.0,1809.774976230708,1.422779069363764,0.0002902999985963106
mid_small,B-n78-k10.vrp,1221.0,1713.6234367987606,1.4034589981971832,0.00032890000147745013
mid_small,CMT1.vrp,524.61,942.4317580087217,1.796442610717908,0.00018980000459123403
mid_small,CMT2.vrp,835.26,1401.345970469955,1.6777362383808097,0.000258100000792183
mid_small,CMT6.vrp,555.43,942.4317580087217,1.696760632318603,0.00018350000027567148
mid_small,CMT7.vrp,909.68,1401.345970469955,1.540482334963894,0.0002606000052765012
mid_small,E-n51-k5.vrp,521.0,942.4317580087217,1.8088901305349745,0.00023999999393709004
mid_small,E-n76-k10.vrp,830.0,1401.345970469955,1.6883686391204278,0.00032529998861718923
mid_small,E-n76-k14.vrp,1021.0,1525.6777914469988,1.4942975430430938,0.0003201000072294846
mid_small,E-n76-k7.vrp,682.0,1211.2311817506502,1.7759988002208946,0.0003220999933546409
mid_small,E-n76-k8.vrp,735.0,1285.3620820903334,1.7487919484222223,0.0003273999900557101
mid_small,F-n72-k4.vrp,237.0,426.79439096826576,1.8008202150559736,0.0003127999952994287
mid_small,P-n51-k10.vrp,741.0,1087.7582257580011,1.4679598188367087,0.00022729999909643084
mid_small,P-n55-k10.vrp,694.0,996.1572484273539,1.4353850841892708,0.00023979999241419137
mid_small,P-n55-k15.vrp,989.0,1256.9850337884202,1.2709656560044693,0.0002474999928381294
mid_small,P-n55-k7.vrp,568.0,848.4232279475023,1.4937028661047576,0.00024280000070575625
mid_small,P-n60-k10.vrp,744.0,1157.7357926791497,1.5560964955364915,0.0002612999960547313
mid_small,P-n60-k15.vrp,968.0,1311.759470455619,1.3551234198921684,0.0002646999928401783
mid_small,P-n65-k10.vrp,792.0,1141.8858867363797,1.4417751095156308,0.000311699986923486
mid_small,P-n70-k10.vrp,827.0,1297.9497307199733,1.5694676308584925,0.00029939999512862414
mid_small,P-n76-k4.vrp,593.0,1054.244628083658,1.7778155616925093,0.0003205999964848161
mid_small,P-n76-k5.vrp,627.0,1187.964037633138,1.8946794858582745,0.0003184999950462952
mid_small,tai75a.vrp,1618.36,2763.549343988252,1.7076233619146866,0.00032700000156182796
mid_small,tai75b.vrp,1344.62,2782.4098324581714,2.069290827488935,0.00032649999775458127
mid_small,tai75c.vrp,1291.01,2933.1913970630167,2.2720129178418578,0.0003235000040149316
mid_small,tai75d.vrp,1365.42,1789.6320833052741,1.3106824883957127,0.00032310000096913427
