Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time,Status
x_large,Antwerp1.vrp,6001,None,30,477628.58867993334,3226261.329080853,6.754749203764315,305.88186520000454,Timeout 300
x_large,Antwerp2.vrp,7001,None,100,291740.3669830918,7709244.817605089,26.425019263967297,308.28304933199996,Timeout 300
