Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time,Status,Used_Truck
small,A-n32-k5.vrp,32,5,100,787.8082774366646,843.688169346626,1.0709308260783712,0.005192199954763055,Finished86400,5
small,A-n33-k5.vrp,33,5,100,662.7628798187153,693.739847134346,1.046739140436024,0.0022039240000140126,Finished86400,5
small,A-n33-k6.vrp,33,6,100,742.830104787331,776.2559893244659,1.0449980208417973,0.0023450790000083543,Finished86400,7
small,A-n34-k5.vrp,34,5,100,781.3034826995502,807.3126474885153,1.0332894520053828,0.0023811259999888534,Finished86400,5
small,A-n36-k5.vrp,36,5,100,802.1318035237848,830.891740485609,1.035854378090335,0.00271259799998802,Finished86400,5
small,A-n37-k5.vrp,37,5,100,672.593526946931,705.1682010333623,1.0484314415487996,0.002535707000021148,Finished86400,5
small,A-n37-k6.vrp,37,6,100,952.2175276972253,979.6543504538735,1.0288136081920267,0.0029034959999876264,Finished86400,6
small,A-n38-k5.vrp,38,5,100,734.1846511333271,794.6656102779442,1.082378403105071,0.003062655000007908,Finished86400,6
small,A-n39-k5.vrp,39,5,100,828.989115424054,901.9900540917963,1.088060189584516,0.0034003179999899658,Finished86400,5
small,A-n39-k6.vrp,39,6,100,833.2046053523984,882.5837337942723,1.0592641088691408,0.00288046299999678,Finished86400,6
small,A-n44-k6.vrp,44,6,100,939.3346964376051,1020.8778047700205,1.0868094286750662,0.002854754999987108,Finished86400,6
small,A-n45-k6.vrp,45,6,100,944.8763669421223,1012.9172723402031,1.072010379112645,0.0027435670000102164,Finished86400,7
small,A-n45-k7.vrp,45,7,100,1147.22098351604,1199.9759634376967,1.0459850200438032,0.0030982309999956215,Finished86400,7
small,A-n46-k7.vrp,46,7,100,918.461372792691,939.7435418657789,1.0231715450464476,0.0029679479999913383,Finished86400,7
small,A-n48-k7.vrp,48,7,100,1074.337824689917,1114.857814702284,1.0377162463064746,0.0033546119999812163,Finished86400,7
small,B-n31-k5.vrp,31,5,100,676.7582609500149,684.6089982427923,1.0116005045609,0.001276313999994727,Finished86400,5
small,B-n34-k5.vrp,34,5,100,791.2402758558225,808.7426240970285,1.0221201432425506,0.0014907160000063868,Finished86400,5
small,B-n35-k5.vrp,35,5,100,956.29409898826,980.4257165555686,1.0252345147720134,0.0015601469999921846,Finished86400,5
small,B-n38-k6.vrp,38,6,100,809.452489572368,833.73607338778,1.030000011277056,0.0021180329999879177,Finished86400,6
small,B-n39-k5.vrp,39,5,100,553.2673599367333,568.8242504457515,1.0281182148731802,0.0019901930000116863,Finished86400,5
small,B-n41-k6.vrp,41,6,100,834.9577391350781,899.9012987802317,1.0777806547579616,0.0022291710000104104,Finished86400,7
small,B-n43-k6.vrp,43,6,100,747.5357650288681,762.6233702524737,1.0201831215701405,0.002575852000006762,Finished86400,6
small,B-n44-k7.vrp,44,7,100,915.8400817074579,938.4465019702028,1.024683807483724,0.002897415000006731,Finished86400,7
small,B-n45-k5.vrp,45,5,100,755.4335679475657,757.1641652674421,1.0022908663227372,0.0025380510000161394,Finished86400,5
small,B-n45-k6.vrp,45,6,100,680.4379297045854,729.8734591118883,1.0726525186930211,0.0026527759999908085,Finished86400,7
small,B-n50-k7.vrp,50,7,100,744.7824415526958,749.5607584512968,1.0064157217356513,0.0031516619999933937,Finished86400,7
small,B-n50-k8.vrp,50,8,100,1322.5618541413928,1354.02636518271,1.0237905780684593,0.004005523999978777,Finished86400,8
small,E-n13-k4.vrp,13,4,6000,290.0,290.0,1.0,0.00040317599999184495,Finished86400,4
small,E-n22-k4.vrp,22,4,6000,375.2797871480125,388.77228583912927,1.0359531718818507,0.0007364820000077543,Finished86400,4
small,E-n23-k3.vrp,23,3,4500,568.5625010705219,576.4198114175737,1.0138196070480512,0.0006938219999881312,Finished86400,3
small,E-n30-k3.vrp,30,3,4500,535.7967571874207,534.4482364968426,0.9974831488386438,0.001082960999980287,Finished86400,4
small,E-n31-k7.vrp,31,7,140,1263.0,1263.0,1.0,0.0014464029999885497,Finished86400,7
small,E-n33-k4.vrp,33,4,8000,838.7210087828687,843.0977933340906,1.0052184033849032,0.001420194000019137,Finished86400,4
small,F-n45-k4.vrp,45,4,2010,724.5691570372719,730.2488116634198,1.0078386646339899,0.0024264420000008613,Finished86400,5
small,P-n16-k8.vrp,16,8,35,451.94709212981854,478.7711300654122,1.0593521640092523,0.0005468450000023495,Finished86400,9
small,P-n19-k2.vrp,19,2,160,212.6569041858923,237.89277234358858,1.1186694043831116,0.0005752790000030927,Finished86400,2
