Size,Instance_Name,#Node,#Truck,Capacity,Optimal_Cost,CW_cost,APX,Execution_time,Status
mid,CMT10.vrp,200,None,200,1395.853467656216,1424.3087692858205,1.0203855936808208,0.07871146799999451,Finished
mid,CMT11.vrp,121,None,200,1042.1150274399192,1071.9485927080987,1.028627900454971,0.029525328000005402,Finished
mid,CMT12.vrp,101,None,200,819.5575441874688,838.8666560066699,1.0235604100726627,0.014350428000000193,Finished
mid,CMT13.vrp,121,None,200,1541.1416027574185,1071.9485927080987,0.6955548995563826,0.029204178000014736,Finished
mid,CMT14.vrp,101,None,200,866.3652093737874,838.8666560066699,0.9682598596185625,0.014510308000012628,Finished
mid,CMT3.vrp,101,None,200,826.1369729550208,877.9347810906722,1.0626988136729616,0.02017022199999019,Finished
mid,CMT4.vrp,151,None,200,1028.4242880993547,1096.2630384357528,1.0659637769366297,0.037691853999973546,Finished
mid,CMT5.vrp,200,None,200,1291.2891464211025,1424.3087692858205,1.1030130418376016,0.07840936300002,Finished
mid,CMT8.vrp,101,None,200,865.9445056375685,877.9347810906722,1.0138464709632584,0.014198293000021067,Finished
mid,CMT9.vrp,151,None,200,1162.5470444474113,1096.2630384357528,0.9429838075557924,0.038185927000000675,Finished
mid,E-n101-k14.vrp,101,14,112,1082.650162207119,1143.4485955492578,1.056157044504749,0.01611702799999648,Finished
mid,E-n101-k8.vrp,101,8,200,826.9079628529653,877.9347810906722,1.061707977828217,0.01365094800001998,Finished
mid,F-n135-k7.vrp,135,7,2210,1170.6531100619734,1232.3117698722963,1.0526703079506265,0.029749569999978576,Finished
mid,Golden_1.vrp,241,None,550,5623.468314507381,5694.031562174052,1.0125479941773001,0.11511304199999017,Finished
mid,Golden_17.vrp,241,None,200,707.7560011421995,762.1508664685515,1.076855392590904,0.11804023599998459,Finished
mid,Golden_5.vrp,201,None,900,6460.97951921498,7538.536872289564,1.1667792553543814,0.07125529699999333,Finished
mid,M-n101-k10.vrp,101,10,200,819.8108473050876,838.8666560066699,1.0232441529216445,0.014527878000023975,Finished
mid,M-n121-k7.vrp,121,7,200,1045.160491205303,1071.9485927080987,1.0256306105408777,0.02922985600000061,Finished
mid,M-n151-k12.vrp,151,12,200,1030.7562527704383,1111.620139570005,1.0784510271775922,0.03782386899999324,Finished
mid,M-n200-k16.vrp,200,None,200,1294.6662430341767,1422.0073758013257,1.0983582706757786,0.07770420099998887,Finished
mid,M-n200-k17.vrp,200,17,200,1294.8940205956042,1422.0073758013257,1.09816506461838,0.07879475300001104,Finished
mid,ORTEC-n242-k12.vrp,242,None,125,123750.0,132576.0,1.0713212121212121,0.1591896580000025,Finished
mid,P-n101-k4.vrp,101,4,400,692.2768742727131,771.9477769412274,1.115085315759268,0.013243703999989975,Finished
mid,tai100a.vrp,101,None,1409,None,2156.165982212228,None,0.017538421000011795,Finished
mid,tai100b.vrp,101,None,1842,None,2043.700152385777,None,0.01667053500000293,Finished
mid,tai100c.vrp,101,None,2043,None,1466.8345855531882,None,0.01819541199998298,Finished
mid,tai100d.vrp,101,None,1297,None,1688.7665060958968,None,0.017889378999996097,Finished
mid,tai150a.vrp,151,None,1544,None,3381.5836551276684,None,0.046643904999996266,Finished
mid,tai150b.vrp,151,None,1918,None,2905.558120943422,None,0.04503361499999414,Finished
mid,tai150c.vrp,151,None,2021,None,2440.5760804379233,None,0.04804398699999979,Finished
mid,tai150d.vrp,151,None,1874,None,2814.110489154123,None,0.04846397400001479,Finished
mid,X-n101-k25.vrp,101,None,206,27598.4007834456,29023.837292527147,1.0516492430219568,0.023219375999985914,Finished
mid,X-n106-k14.vrp,106,None,600,26362.240374476234,27872.210338645276,1.0572777557111948,0.024258771999996043,Finished
mid,X-n110-k13.vrp,110,None,66,14979.427094468716,15928.897363451528,1.0633849521076417,0.018994097999978976,Finished
mid,X-n115-k10.vrp,115,None,169,12751.640005756142,13651.018710964046,1.0705304341090183,0.02011771400000839,Finished
mid,X-n120-k6.vrp,120,None,21,13329.4178091839,14880.38637223983,1.1163568120722662,0.028930715000001328,Finished
mid,X-n125-k30.vrp,125,None,188,55546.20080627722,58275.30312314764,1.0491321148387525,0.04290757600000461,Finished
mid,X-n129-k18.vrp,129,None,39,28946.534546376366,29962.411530916914,1.035094943158497,0.03891640600002688,Finished
mid,X-n134-k13.vrp,134,None,643,10919.846711469087,11651.369740598373,1.0669902287511939,0.040276804999990645,Finished
mid,X-n139-k10.vrp,139,None,106,13595.955750386658,14672.487089460737,1.079180262045459,0.03175288299999579,Finished
mid,X-n143-k7.vrp,143,None,1190,15697.056595993054,17717.097956519006,1.1286891811960214,0.04572851799997579,Finished
mid,X-n148-k46.vrp,148,None,18,43452.94926360666,45150.09734338396,1.0390571436125446,0.06892178699999363,Finished
mid,X-n153-k22.vrp,153,None,144,21226.867128671347,22642.309386489105,1.0666816374379573,0.057121265999995785,Finished
mid,X-n157-k13.vrp,157,None,12,16886.34634255687,18022.5804729308,1.0672871506555803,0.05581249299999058,Finished
mid,X-n162-k11.vrp,162,None,1174,14138.581489418759,15025.222435311565,1.0627107426976579,0.0448168509999789,Finished
mid,X-n167-k10.vrp,167,None,133,20558.33328675831,22015.01374515269,1.0708559608444832,0.06574556399999665,Finished
mid,X-n172-k51.vrp,172,None,161,45612.13671476604,48289.51525321484,1.0586988185883879,0.10048525400000585,Finished
mid,X-n176-k26.vrp,176,None,142,47815.81734293499,52552.42304922071,1.0990593901661199,0.09631464000000278,Finished
mid,X-n181-k23.vrp,181,None,8,25575.6800061908,26417.157358287117,1.0329014654504838,0.08518237199999135,Finished
