Size,Instance_Name,#Node,#Truck,Capacity,Opt_cost,Incumbent,APX,Execution_time,Status,Routes
small,B-n41-k6.vrp,41,6,100,834.9577391350781,903.0281003197556,1.0815255167946471,300.0915368000278,Timeout, [0 36 32 29 14 17 28 1 0 0 24 35 2 3 18 21 37 9 0 0 26 5 15 31 22 16 0 0 25 19 27 38 39 4 0 0 6 33 34 11 8 30 13 0 0 12 23 10 40 20 7 0]
small,B-n43-k6.vrp,43,6,100,747.5357650288681,765.3971590808258,1.023893698318592,300.0562538999948,Timeout, [0 1 23 2 38 36 16 0 0 3 11 13 30 29 4 0 0 22 24 6 8 12 31 10 7 0 0 9 17 39 34 15 42 26 0 0 37 28 14 19 18 5 21 20 33 0 0 35 27 32 25 40 41 0]
small,B-n44-k7.vrp,44,7,100,915.8400817074579,1018.1795098924126,1.1117437751732344,300.0625013000099,Timeout, [0 25 1 17 5 0 0 34 4 8 22 30 9 13 19 0 0 40 12 3 33 43 15 20 0 0 32 11 10 38 42 41 37 0 0 23 24 39 0 0 7 16 18 29 21 6 0 0 26 14 36 2 35 27 31 28 0]
small,B-n45-k5.vrp,45,5,100,755.4335679475657,782.4207249095996,1.0357240637788379,300.06697590003023,Timeout, [0 9 13 15 32 37 1 30 0 0 36 18 44 14 27 34 7 2 0 0 23 29 11 25 26 19 33 16 4 0 0 39 17 10 24 35 20 38 31 3 0 0 28 42 40 6 12 21 8 22 43 41 5 0]
small,B-n45-k6.vrp,45,6,100,680.4379297045854,755.134871324222,1.109777745123742,300.07437049999135,Timeout, [0 29 13 30 1 5 0 0 16 25 26 42 17 14 24 0 0 38 41 31 21 33 20 7 0 0 12 32 23 37 19 28 22 8 43 0 0 6 34 18 15 40 44 27 4 0 0 39 35 9 3 2 36 10 11 0]
small,B-n50-k7.vrp,50,7,100,744.7824415526958,810.478915013451,1.0882089450495014,300.0984671000042,Timeout, [0 23 13 1 26 39 33 47 0 0 15 32 28 40 0 0 3 10 42 16 27 24 43 14 18 25 30 0 0 35 4 29 46 37 11 8 20 0 0 6 2 48 17 19 44 49 34 0 0 9 38 12 22 31 41 7 0 0 45 36 5 21 0]
small,B-n50-k8.vrp,50,8,100,1322.5618541413928,1336.3359069708526,1.010414675719195,300.0708866000059,Timeout, [0 1 21 42 17 8 35 0 0 46 41 45 39 15 0 0 31 5 24 43 0 0 27 12 9 7 48 34 0 0 32 28 29 19 14 0 0 44 20 36 11 16 30 6 0 0 37 33 49 47 26 18 4 25 40 2 0 0 38 22 23 10 13 3 0]
small,E-n13-k4.vrp,13,4,6000,290.0,290.0,1.0,4.473908099986147,Optimal, [0 1 2 3 4 0 0 5 0 0 7 10 12 11 0 0 6 9 8 0]
small,E-n22-k4.vrp,22,4,6000,375.2797871480125,375.2797871480124,1.0,9.09128230001079,Optimal, [0 6 1 2 5 7 9 0 0 14 21 19 16 0 0 13 11 4 3 8 10 0 0 17 20 18 15 12 0]
small,E-n23-k3.vrp,23,3,4500,568.5625010705219,568.5625010705219,1.0,0.8897180000203662,Optimal, [0 18 19 20 22 17 14 15 16 3 2 1 6 11 0 0 10 13 0 0 21 8 4 5 9 7 12 0]
small,E-n30-k3.vrp,30,3,4500,535.7967571874207,546.7942064269222,1.020525412093255,300.0289141999674,Timeout, [0 21 14 8 9 17 7 13 12 11 10 23 18 0 0 20 6 1 24 25 29 27 28 26 16 15 0 0 22 2 5 4 3 19 0]
small,E-n31-k7.vrp,31,7,140,1252.0,1252.0,1.0,300.0276523999637,Timeout, [0 22 29 1 0 0 30 21 0 0 20 25 2 0 0 12 14 9 15 16 7 13 11 5 6 23 0 0 18 10 19 8 0 0 24 3 28 4 0 0 17 27 26 0]
