Size,Instance_Name,Optimal_Cost,Sw_cost,opt2,opt3,APX,Execution_time
mid,CMT10.vrp,1395.85,2773.175068804432, 1508.7429726214405,1468.5837748674112,1.0521071568344817,0.23599149999790825
mid,CMT11.vrp,1042.11,3343.234592266588, 1564.9213753650477,1560.1487427127465,1.4971056248503005,0.4575755999831017
mid,CMT12.vrp,819.56,1247.1085588683377, 1094.073763416582,1065.23834768188,1.2997685925153497,0.05561059998581186
mid,CMT13.vrp,1541.14,3343.234592266588, 1564.9213753650477,1560.1487427127465,1.0123342089055805,0.49129390000598505
mid,CMT14.vrp,866.37,1247.1085588683377, 1094.073763416582,1065.23834768188,1.2295420521046203,0.056792200019117445
mid,CMT3.vrp,826.14,1387.100616744927, 921.1532165871756,906.5198984440502,1.097295734916661,0.14585540001280606
mid,CMT4.vrp,1028.42,2252.4271415763624, 1210.832097350671,1205.6105931177453,1.1722939977030253,0.228142600011779
mid,CMT5.vrp,1291.29,2773.175068804432, 1508.7429726214405,1468.5837748674112,1.137299735045893,0.2544083000102546
mid,CMT8.vrp,865.94,1387.100616744927, 921.1532165871756,906.5198984440502,1.0468622519389914,0.14349740001489408
mid,CMT9.vrp,1162.55,2252.4271415763624, 1210.832097350671,1205.6105931177453,1.0370397773151652,0.23508029998629354
mid,E-n101-k14.vrp,1071.0,1691.9154816842315, 1275.4454322421425,1255.537877063802,1.1723042736356695,0.018158799997763708
mid,E-n101-k8.vrp,817.0,1387.100616744927, 921.1532165871756,906.5198984440502,1.1095714791236846,0.1399708999961149
mid,F-n135-k7.vrp,1162.0,2416.6224042778663, 1529.504929369997,1497.3189201448358,1.2885704992640583,1.3538063000014517
mid,Golden_1.vrp,5627.54,14495.071469485369, 6084.77235582124,5950.499793642019,1.057389160031207,17.762292200000957
mid,Golden_17.vrp,707.79,1245.4003350624955, 803.0148529758733,792.2697861504313,1.1193571343907533,0.3056908000144176
mid,Golden_5.vrp,6460.98,15988.036113225498, 7621.795870955887,7902.630250640926,1.2231318237544344,20.989440700010164
mid,M-n101-k10.vrp,820.0,1247.1085588683377, 1094.073763416582,1065.23834768188,1.2990711557096097,0.054978600004687905
mid,M-n121-k7.vrp,1034.0,3343.234592266588, 1564.9213753650477,1560.1487427127465,1.508847913648691,0.4767547999799717
mid,M-n151-k12.vrp,1053.0,2264.58233596809, 1207.1555056872453,1216.2527554684898,1.1550358551457642,0.22562109999125823
mid,M-n200-k16.vrp,1274.0,2788.087356499641, 1516.288071552921,1470.4147267622564,1.154171685056716,0.23814150001271628
