Size,Instance_Name,Optimal_Cost,Sw_cost,opt2,opt3,APX,Execution_time
small,A-n32-k5.vrp,784.0,1559.125152837149, 914.6650305494419,938.0768549802551,1.1965266007401214,0.007859200006350875
small,A-n33-k5.vrp,661.0,942.076965984789, 806.5812797180439,811.0668500819991,1.2270300303812391,0.004051500000059605
small,A-n33-k6.vrp,742.0,1050.3116319385529, 893.1537890108273,883.2438814397741,1.190355635363577,0.0023132000060286373
small,A-n34-k5.vrp,778.0,1036.4696846075794, 913.617661425618,887.0908549000261,1.1402196078406506,0.0040551999991294
small,A-n36-k5.vrp,799.0,1188.281185043952, 961.299804318496,943.4352846905521,1.180770068448751,0.009654399997089058
small,A-n37-k5.vrp,669.0,1055.8665619951767, 854.8534635897364,861.2394957331081,1.2873535063275159,0.014347699994686991
small,A-n37-k6.vrp,949.0,1476.5709559086126, 1146.9924327193967,1156.8178329712287,1.2189861253648353,0.004587099974742159
small,A-n38-k5.vrp,730.0,1154.7859502581546, 891.5621031669514,926.533086468295,1.269223406120952,0.006075799989048392
small,A-n39-k5.vrp,822.0,1488.8953664088112, 1037.7018387521975,1046.498280733362,1.2731122636658905,0.011597100005019456
small,A-n39-k6.vrp,831.0,1257.1133277776046, 1027.6627512764096,1011.884451765417,1.2176708204156643,0.009652500011725351
small,A-n44-k6.vrp,937.0,1684.6679726010532, 1210.8071949386222,1189.1084858075908,1.2690592164435335,0.006810599996242672
small,A-n45-k6.vrp,944.0,1422.216410970969, 1117.663057048291,1138.6168596880434,1.2061619276356392,0.007581200014101341
small,A-n45-k7.vrp,1146.0,1798.9901916166073, 1372.5545760701627,1368.5455011437289,1.1941932819753307,0.005229700007475913
small,A-n46-k7.vrp,914.0,1356.5128459805178, 1084.6834775798247,1070.476767186062,1.1711999640985362,0.01576569999451749
small,A-n48-k7.vrp,1073.0,1684.073641040533, 1176.5835971527617,1200.0640318794945,1.1184194146127628,0.011123200005386025
