Size,Instance_Name,Optimal_Cost,Sw_cost,Apx,Execution_time
mid,CMT10.vrp,1395.85,2773.175068804432,1.9867285659665668,0.0006393000076059252
mid,CMT11.vrp,1042.11,3343.234592266588,3.208139824266717,0.0005715000006603077
mid,CMT12.vrp,819.56,1247.1085588683377,1.521680607726509,0.0004258999979356304
mid,CMT13.vrp,1541.14,3343.234592266588,2.169325688948822,0.0004202999989502132
mid,CMT14.vrp,866.37,1247.1085588683377,1.4394641537314747,0.000378400000045076
mid,CMT3.vrp,826.14,1387.100616744927,1.679013988845628,0.0003473999968264252
mid,CMT4.vrp,1028.42,2252.4271415763624,2.1901821644623425,0.00060450000455603
mid,CMT5.vrp,1291.29,2773.175068804432,2.1476005148374355,0.0008105999877443537
mid,CMT8.vrp,865.94,1387.100616744927,1.6018437960423666,0.00045900000259280205
mid,CMT9.vrp,1162.55,2252.4271415763624,1.9374884018548557,0.0008444999984931201
mid,E-n101-k14.vrp,1071.0,1691.9154816842315,1.5797530174455943,0.0006477999995695427
mid,E-n101-k8.vrp,817.0,1387.100616744927,1.6977975725152106,0.0005989000055706128
mid,F-n135-k7.vrp,1162.0,2416.6224042778663,2.0797094701186456,0.0006244999967748299
mid,Golden_1.vrp,5627.54,14495.071469485369,2.5757385055433404,0.002643200001330115
mid,Golden_17.vrp,707.79,1245.4003350624955,1.7595619252355863,0.0008940999978221953
mid,Golden_5.vrp,6460.98,15988.036113225498,2.4745527943478387,0.000920700011192821
mid,M-n101-k10.vrp,820.0,1247.1085588683377,1.5208640961808997,0.0005600000004051253
mid,M-n121-k7.vrp,1034.0,3343.234592266588,3.2333023136040504,0.0005655999993905425
mid,M-n151-k12.vrp,1053.0,2264.58233596809,2.1506005089915385,0.0006451000081142411
mid,M-n200-k16.vrp,1274.0,2788.087356499641,2.1884516142069397,0.000862300003063865
mid,M-n200-k17.vrp,1275.0,2788.087356499641,2.186735181568346,0.0009032999951159582
mid,P-n101-k4.vrp,681.0,1216.2146963882997,1.7859246642999995,0.0005550999921979383
mid,tai100a.vrp,2041.34,3855.1028483957616,1.8885158025589865,0.0008785999962128699
mid,tai100b.vrp,1939.9,3202.8096360665577,1.6510179061119425,0.0005225999921094626
mid,tai100c.vrp,1406.2,3107.139836348741,2.2096002249671036,0.0004447999963304028
mid,tai100d.vrp,1580.46,3693.6669761703233,2.3370834922556236,0.000421799995820038
mid,tai150a.vrp,3055.23,5544.295791171098,1.8146901513703053,0.0006559000030392781
mid,tai150b.vrp,2646.47,5933.259595897975,2.2419523349586337,0.0006265999982133508
mid,tai150c.vrp,2358.66,5012.6388684806625,2.1252062054220033,0.0006096000142861158
mid,tai150d.vrp,2645.39,4997.698501309615,1.8892104760771058,0.0006278999935602769
mid,X-n101-k25.vrp,27591.0,37820.66581456943,1.3707609660602889,0.00047640000411774963
mid,X-n106-k14.vrp,26362.0,41408.29230905716,1.5707568587002942,0.0004844999930355698
